split,phép đã thay đổi,trước (đoạn khác nhau),sau (đoạn khác nhau)
train,khoảng trắng,...i␣son␣thơm␣nhẹ␣nhẹ␣ko␣quá␣nồng␣,...i␣son␣thơm␣nhẹ␣nhẹ␣ko␣quá␣nồng
train,khoảng trắng,...ảnh chi mang tính chất nhận xu \r⏎Màu đẹp shop đóng gói cẩn t...,...ảnh chi mang tính chất nhận xu⏎Màu đẹp shop đóng gói cẩn thậ...
train,khoảng trắng,...u␣quá␣ok.....................␣␣␣␣.......,...u␣quá␣ok.....................␣.......
train,khoảng trắng,"...,␣đỏ␣hồng␣1␣tẹo⏎Hợp␣răng␣trắng␣⏎Shop␣giao␣hàng␣nhanh","...,␣đỏ␣hồng␣1␣tẹo⏎Hợp␣răng␣trắng⏎Shop␣giao␣hàng␣nhanh"
train,khoảng trắng,"Xinh xểu\r⏎Chất son mềm mịn, lên màu ch...","Xinh xểu⏎Chất son mềm mịn, lên màu chu..."
train,khoảng trắng,...tiếp␣tục␣ủng␣hộ␣shop␣lâu␣dài␣💔␣,...tiếp␣tục␣ủng␣hộ␣shop␣lâu␣dài␣💔
train,khoảng trắng,"...t của Focallure sắp ra mắt !!⏎  ⏎  [Đôi môi quyến rũ, mềm và...","...t của Focallure sắp ra mắt !!⏎[Đôi môi quyến rũ, mềm và mịn ..."
train,khoảng trắng,... đẹp xĩu lun á shiper express  dễ thương có lần cho tui thiế...,... đẹp xĩu lun á shiper express dễ thương có lần cho tui thiếu...
train,khoảng trắng,"Đặt câu hỏi￼￼⏎⏎SOẠN VĂN SIÊU NGẮN, GIẢI SGK,...","Đặt câu hỏi￼￼⏎SOẠN VĂN SIÊU NGẮN, GIẢI SGK, ..."
train,khoảng trắng,"Hàng đẹp, son lên màu đỉnh lắm\r⏎Giao hàng nhanh \r⏎Ưng lắm\r⏎Đ...","Hàng đẹp, son lên màu đỉnh lắm⏎Giao hàng nhanh⏎Ưng lắm⏎Đợt s..."
train,khoảng trắng,Son 💄 nhỏ nhỏ xinh xinh ⏎Đánh lên màu đẹp hợp với da ...,Son 💄 nhỏ nhỏ xinh xinh⏎Đánh lên màu đẹp hợp với da⏎G...
train,khoảng trắng,Son mk mua màu  05 bôi lên cg thấy khá đẹp nc...,Son mk mua màu 05 bôi lên cg thấy khá đẹp ncl...
