split,số khía cạnh được nhắc,số review,tỉ lệ % trên toàn split,tỉ lệ % trên số review có nhãn
train,0,1708,13.88,-
train,1,2891,23.5,27.29
train,2,3780,30.73,35.68
train,3,2653,21.57,25.04
train,4,987,8.02,9.32
train,5,243,1.98,2.29
train,6,36,0.29,0.34
train,7,4,0.03,0.04
val,0,197,12.93,-
val,1,390,25.59,29.39
val,2,447,29.33,33.69
val,3,329,21.59,24.79
val,4,129,8.46,9.72
val,5,25,1.64,1.88
val,6,7,0.46,0.53
test,0,226,14.89,-
test,1,336,22.13,26.01
test,2,467,30.76,36.15
test,3,330,21.74,25.54
test,4,122,8.04,9.44
test,5,29,1.91,2.24
test,6,7,0.46,0.54
test,7,1,0.07,0.08
