emoji,số lần xuất hiện
❤,2172
🥰,1697
😍,1209
👍,756
😘,556
😊,287
👌,271
😁,238
♥,237
💯,217
😂,205
👍🏻,186
🤣,182
🥲,175
🤩,165
😚,154
☺,138
🤗,129
😗,118
😀,112
✨,109
😭,106
🙂,105
🥳,103
😻,96
😞,95
😙,94
😢,92
😉,87
💕,86
😌,85
🧡,79
😅,77
😝,77
😆,74
🎁,73
💗,72
😎,71
😃,71
💋,71
👏,71
🥺,67
😄,64
🤪,60
🌸,59
😇,58
❣,57
💜,55
♡,54
⭐,50
😔,49
😋,47
👅,47
🙆,45
💙,44
💄,43
🤔,43
✅,42
🤍,41
🙆🏻‍♀,41
🤭,41
💞,35
🔥,35
💓,34
😜,34
❌,34
🐕,34
👋🏻,34
💖,33
🙄,30
👌🏻,29
☹,29
😳,28
😥,27
🎮,27
🌷,26
🇻🇳,25
🔮,25
👏🏻,24
🙃,23
🤧,23
🤨,23
❤‍🔥,23
😷,22
😴,22
🍉,22
☝,22
🤙,20
😛,20
🍓,19
🍀,19
📸,19
🤟,19
😑,18
😐,17
🖤,16
👄,15
👉,15
🎂,15
🐄,15
💚,14
🤤,14
☘,14
🤦‍♀,14
👀,14
💰,14
💔,13
😿,13
🎉,13
🥶,13
🥴,12
🌝,12
🙈,12
🌚,11
🤑,11
😒,11
😬,11
👑,11
😏,10
😩,10
😡,10
🍏,10
😶,9
🌼,9
🌹,9
🎊,9
♤,9
🍑,9
🧐,9
🐤,9
😱,8
👻,8
💤,8
🦑,8
😽,7
💃,7
🤬,7
👈,7
😪,7
👋,7
😧,7
😕,6
👉🏻,6
🤦🏻‍♀,6
✔,6
🐰,6
💃🏻,6
💐,6
🙋🏻‍♀,6
🐷,6
✋,6
🥀,6
🤡,5
💥,5
🙏,5
⚡,5
✌🏻,5
🔪,5
💩,5
😲,5
🙁,5
🤒,5
👾,5
🛍,5
🌈,4
✌,4
🌟,4
👁,4
🤌,4
💅,4
🚊,4
🤦,4
🍒,4
🎄,4
🙆🏼‍♀,4
🐶,4
🦋,4
💛,4
🚔,4
😵‍💫,4
😹,4
😨,4
🥸,4
💪,4
🥱,4
⛅,4
🙆‍♀,3
⚠,3
🍫,3
💆,3
👍🏿,3
🌵,3
😯,3
🤥,3
😖,3
🍄,3
🎀,3
🍭,3
💁,3
😫,3
🎆,3
😤,3
🌻,3
✧,3
📣,3
💬,3
🌔,3
☁,3
👯,3
🧟,3
🖌,3
🙏🏻,3
💡,3
❗,2
☑,2
📦,2
🎶,2
💨,2
😵,2
🤯,2
🤦🏼‍♀,2
😾,2
🤓,2
🤷🏻,2
👈🏻,2
🐛,2
🛌,2
📌,2
🌦,2
🌎,2
🌧,2
💫,2
🌙,2
👆,2
🌂,2
💅🏼,2
🐳,2
🍼,2
📢,2
👩‍❤‍👨,2
😈,2
🐸,2
💟,2
🍇,2
😣,2
🤟🏻,2
👆🏻,2
✋🏻,2
🐠,2
🙆🏻‍♂,2
🌱,2
🛁,2
📷,2
💸,1
💝,1
💌,1
🤌🏻,1
✿,1
🥵,1
🍊,1
🤟🏼,1
😮‍💨,1
🔸,1
🙆🏻,1
🤷🏻‍♀,1
🔫,1
🍬,1
👰,1
💍,1
💒,1
🚮,1
🤙🏻,1
😰,1
👦,1
📍,1
🙌,1
🥂,1
🌺,1
😮,1
🧆,1
🔰,1
🚶‍♂,1
👧,1
🍽,1
🙉,1
🪐,1
🌨,1
🌩,1
🌓,1
🏐,1
🧠,1
5⃣,1
🤮,1
🤷‍♀,1
🙊,1
🏡,1
🚶,1
🧖‍♀,1
🌿,1
🤕,1
♟,1
🙆🏿‍♀,1
♻,1
✈,1
😟,1
🍂,1
🦄,1
🐍,1
🦀,1
🐊,1
🦞,1
🦖,1
🦍,1
📜,1
🐣,1
🌍,1
🚛,1
📲,1
🐨,1
🪖,1
➡,1
🆙,1
🍤,1
💘,1
★,1
🌞,1
🚚,1
🛒,1
🗣,1
⛹‍♂,1
🥌,1
⛸,1
