từ,số lần xuất hiện,lí do bị gắn cờ
k,1496,một ký tự phụ âm + không có nguyên âm
mn,914,không có nguyên âm
đc,726,không có nguyên âm
mng,365,không có nguyên âm
sp,362,không có nguyên âm
kh,315,không có nguyên âm
r,298,một ký tự phụ âm + không có nguyên âm
vs,272,không có nguyên âm
cx,188,không có nguyên âm
mk,164,không có nguyên âm
dc,148,không có nguyên âm
j,121,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
n,115,một ký tự phụ âm + không có nguyên âm
v,107,một ký tự phụ âm + không có nguyên âm
m,107,một ký tự phụ âm + không có nguyên âm
ncl,98,không có nguyên âm
review,95,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
trc,82,không có nguyên âm
d,76,một ký tự phụ âm + không có nguyên âm
nhg,75,không có nguyên âm
ng,73,không có nguyên âm
tc,71,không có nguyên âm
t,66,một ký tự phụ âm + không có nguyên âm
swatch,63,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
ntn,61,không có nguyên âm
h,58,một ký tự phụ âm + không có nguyên âm
s,58,một ký tự phụ âm + không có nguyên âm
a12,54,trộn chữ và số
c,52,một ký tự phụ âm + không có nguyên âm
merzy,51,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
bt,51,không có nguyên âm
z,47,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
99k,47,trộn chữ và số + không có nguyên âm
nch,46,không có nguyên âm
nc,45,không có nguyên âm
tr,43,không có nguyên âm
focallure,42,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
nx,42,không có nguyên âm
vd,40,không có nguyên âm
fake,40,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
b,35,một ký tự phụ âm + không có nguyên âm
ms,35,không có nguyên âm
ch,34,không có nguyên âm
10đ,34,trộn chữ và số + không có nguyên âm
t2,32,trộn chữ và số + không có nguyên âm
g,30,một ký tự phụ âm + không có nguyên âm
v17,30,trộn chữ và số + không có nguyên âm
kb,30,không có nguyên âm
x,30,một ký tự phụ âm + không có nguyên âm
mlbb,28,không có nguyên âm
v26,28,trộn chữ và số + không có nguyên âm
nh,27,không có nguyên âm
sd,26,không có nguyên âm
bth,25,không có nguyên âm
full,24,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
v18,23,trộn chữ và số + không có nguyên âm
ns,23,không có nguyên âm
dth,22,không có nguyên âm
50k,22,trộn chữ và số + không có nguyên âm
lm,22,không có nguyên âm
f,22,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
perfect,21,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
lg,21,không có nguyên âm
fb,19,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
rcm,19,không có nguyên âm
flash,19,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
hn,19,không có nguyên âm
zời,18,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
vl,17,không có nguyên âm
th,17,không có nguyên âm
br,16,không có nguyên âm
દ,16,chữ không phải chữ Latin (ký tự trang trí / tiếng nước ngoài)
19k,16,trộn chữ và số + không có nguyên âm
sr,16,không có nguyên âm
bn,16,không có nguyên âm
mh,15,không có nguyên âm
cmt,15,không có nguyên âm
ε,15,chữ không phải chữ Latin (ký tự trang trí / tiếng nước ngoài)
qr,15,không có nguyên âm
hk,15,không có nguyên âm
kkk,15,không có nguyên âm
pd,15,không có nguyên âm
5sao,15,trộn chữ và số
hcm,15,không có nguyên âm
blr,14,không có nguyên âm
100k,14,trộn chữ và số + không có nguyên âm
70k,14,trộn chữ và số + không có nguyên âm
lq,14,không có nguyên âm
v24,14,trộn chữ và số + không có nguyên âm
hs,13,không có nguyên âm
kk,13,không có nguyên âm
klq,13,không có nguyên âm
cg,12,không có nguyên âm
down,12,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tks,12,không có nguyên âm
vc,12,không có nguyên âm
cafe,11,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
1c,11,trộn chữ và số + không có nguyên âm
p,11,một ký tự phụ âm + không có nguyên âm
rv,11,không có nguyên âm
qt,11,không có nguyên âm
20k,10,trộn chữ và số + không có nguyên âm
sn,10,không có nguyên âm
69k,10,trộn chữ và số + không có nguyên âm
of,10,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
2c,10,trộn chữ và số + không có nguyên âm
t3,10,trộn chữ và số + không có nguyên âm
bthg,9,không có nguyên âm
đ,9,không có nguyên âm
75k,9,trộn chữ và số + không có nguyên âm
kg,9,không có nguyên âm
xjnh,9,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
pr,9,không có nguyên âm
5g,9,trộn chữ và số + không có nguyên âm
4h,9,trộn chữ và số + không có nguyên âm
sh,9,không có nguyên âm
tbc,9,không có nguyên âm
dk,9,không có nguyên âm
1kg,9,trộn chữ và số + không có nguyên âm
v25,8,trộn chữ và số + không có nguyên âm
l,8,một ký tự phụ âm + không có nguyên âm
tb,8,không có nguyên âm
zị,8,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tt,8,không có nguyên âm
final,8,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
uwu,8,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
flashsale,8,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
mnnn,8,không có nguyên âm
scl,8,không có nguyên âm
vch,8,không có nguyên âm
bbia25,8,trộn chữ và số
đk,8,không có nguyên âm
nm,7,không có nguyên âm
mauf,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
nv,7,không có nguyên âm
hjhj,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
v28,7,trộn chữ và số + không có nguyên âm
jd,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
xl,7,không có nguyên âm
filter,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
5s,7,trộn chữ và số + không có nguyên âm
kp,7,không có nguyên âm
tp,7,không có nguyên âm
bh,7,không có nguyên âm
vn,7,không có nguyên âm
hh,7,không có nguyên âm
pk,7,không có nguyên âm
a25,7,trộn chữ và số
size,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
đepj,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
web,7,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
hssv,6,không có nguyên âm
fan,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
kkkk,6,không có nguyên âm
kkkkkkk,6,không có nguyên âm
đx,6,không có nguyên âm
tg,6,không có nguyên âm
ph,6,không có nguyên âm
2k,6,trộn chữ và số + không có nguyên âm
sjs,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
chs,6,không có nguyên âm
feedback,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
25k,6,trộn chữ và số + không có nguyên âm
nd,6,không có nguyên âm
km,6,không có nguyên âm
30k,6,trộn chữ và số + không có nguyên âm
89k,6,trộn chữ và số + không có nguyên âm
hsd,6,không có nguyên âm
w,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
wa,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
hmmm,6,không có nguyên âm
from,6,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
100đ,6,trộn chữ và số + không có nguyên âm
3ce,6,trộn chữ và số
tq,6,không có nguyên âm
nhm,6,không có nguyên âm
mnggg,6,không có nguyên âm
shs,6,không có nguyên âm
40k,6,trộn chữ và số + không có nguyên âm
5cm,6,trộn chữ và số + không có nguyên âm
45k,6,trộn chữ và số + không có nguyên âm
kbt,6,không có nguyên âm
ﾟ3ﾟ,6,chữ không phải chữ Latin (ký tự trang trí / tiếng nước ngoài)
v21,5,trộn chữ và số + không có nguyên âm
sv,5,không có nguyên âm
130k,5,trộn chữ và số + không có nguyên âm
zero,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
10k,5,trộn chữ và số + không có nguyên âm
lw,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
hmm,5,không có nguyên âm
35k,5,trộn chữ và số + không có nguyên âm
10d,5,trộn chữ và số + không có nguyên âm
show,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tphcm,5,không có nguyên âm
nt,5,không có nguyên âm
9k,5,trộn chữ và số + không có nguyên âm
5k,5,trộn chữ và số + không có nguyên âm
aj,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
dthw,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
2h,5,trộn chữ và số + không có nguyên âm
official,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
free,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
vv,5,không có nguyên âm
v23,5,trộn chữ và số + không có nguyên âm
bs,5,không có nguyên âm
minj,5,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
v6,5,trộn chữ và số + không có nguyên âm
v27,5,trộn chữ và số + không có nguyên âm
q,5,một ký tự phụ âm + không có nguyên âm
m1,5,trộn chữ và số + không có nguyên âm
129k,5,trộn chữ và số + không có nguyên âm
zl,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
skinfood,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
for,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
new,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
thg,4,không có nguyên âm
qc,4,không có nguyên âm
kkkkkk,4,không có nguyên âm
cs,4,không có nguyên âm
kkkkkkkkkkk,4,không có nguyên âm
cn,4,không có nguyên âm
dv,4,không có nguyên âm
150k,4,trộn chữ và số + không có nguyên âm
with,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
vcđ,4,không có nguyên âm
tn,4,không có nguyên âm
hc,4,không có nguyên âm
djd,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
m2,4,trộn chữ và số + không có nguyên âm
zui,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tk,4,không có nguyên âm
sms,4,không có nguyên âm
vcl,4,không có nguyên âm
đjep,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
85k,4,trộn chữ và số + không có nguyên âm
4g,4,trộn chữ và số + không có nguyên âm
3c,4,trộn chữ và số + không có nguyên âm
tdc,4,không có nguyên âm
200k,4,trộn chữ và số + không có nguyên âm
bb,4,không có nguyên âm
6h,4,trộn chữ và số + không có nguyên âm
mb,4,không có nguyên âm
55k,4,trộn chữ và số + không có nguyên âm
đm,4,không có nguyên âm
ver5,4,trộn chữ và số
1cây,4,trộn chữ và số
uz,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
ks,4,không có nguyên âm
maf,4,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
bc,4,không có nguyên âm
dg,3,không có nguyên âm
mngg,3,không có nguyên âm
bg,3,không có nguyên âm
ll,3,không có nguyên âm
kkkkk,3,không có nguyên âm
cj,3,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
hhhhhhhhhh,3,không có nguyên âm
cc,3,không có nguyên âm
dn,3,không có nguyên âm
160k,3,trộn chữ và số + không có nguyên âm
36k,3,trộn chữ và số + không có nguyên âm
52k,3,trộn chữ và số + không có nguyên âm
dow,3,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
gk,3,không có nguyên âm
bk,3,không có nguyên âm
nk,3,không có nguyên âm
