split,dấu câu,số review có chứa,tổng số lần xuất hiện,tỉ lệ %
train,!,324,1347,2.63
train,?,52,129,0.42
train,.,4758,14837,38.68
train,",",6238,13221,50.71
train,...,548,1913,4.45
train,:,1446,3071,11.75
train,;,33,71,0.27
train,-,189,428,1.54
train,~,19,38,0.15
train,@,30,79,0.24
val,!,38,92,2.49
val,?,10,40,0.66
val,.,593,2062,38.91
val,",",790,1657,51.84
val,...,73,312,4.79
val,:,150,286,9.84
val,;,1,2,0.07
val,-,12,51,0.79
val,~,1,1,0.07
val,@,2,2,0.13
test,!,46,168,3.03
test,?,9,16,0.59
test,.,611,1945,40.25
test,",",797,1710,52.5
test,...,79,261,5.2
test,:,198,409,13.04
test,;,3,4,0.2
test,-,24,74,1.58
test,~,1,2,0.07
test,@,1,5,0.07
