split,số khía cạnh được nhắc,số review,tỉ lệ % trên toàn split,tỉ lệ % trên số review có nhãn
train,0,2301,17.73,-
train,1,2947,22.7,27.59
train,2,3805,29.31,35.63
train,3,2656,20.46,24.87
train,4,989,7.62,9.26
train,5,243,1.87,2.28
train,6,36,0.28,0.34
train,7,4,0.03,0.04
val,0,271,16.7,-
val,1,402,24.77,29.73
val,2,458,28.22,33.88
val,3,331,20.39,24.48
val,4,129,7.95,9.54
val,5,25,1.54,1.85
val,6,7,0.43,0.52
test,0,312,19.22,-
test,1,351,21.63,26.77
test,2,468,28.84,35.7
test,3,332,20.46,25.32
test,4,123,7.58,9.38
test,5,29,1.79,2.21
test,6,7,0.43,0.53
test,7,1,0.06,0.08
