emoji,số lần xuất hiện
❤,2279
🥰,1978
😍,1385
👍,780
😘,558
😊,291
💯,291
👌,271
♥,256
😁,245
😂,211
👍🏻,204
🤣,184
🥲,176
🤩,173
💕,169
😚,161
☺,144
🤗,130
😀,127
🙂,123
😗,119
✨,110
😭,106
😉,105
😞,104
🥳,104
😙,98
😻,97
😌,96
😢,92
💓,86
🧡,80
😆,79
😅,78
😝,77
😎,74
💋,74
👏,74
😄,74
💗,73
😃,73
🎁,73
🥺,71
🤔,63
😽,60
🤪,60
🌸,59
❣,58
😇,58
💜,57
♡,56
😋,53
⭐,50
😔,49
👅,47
💙,46
🙆,45
💄,43
✅,43
🤍,42
🙆🏻‍♀,41
🤭,41
💞,38
😷,36
🔥,36
😜,35
🙄,34
❌,34
🐕,34
👋🏻,34
💖,33
😿,30
👌🏻,29
😑,29
☹,29
😥,28
😳,28
👌🏼,27
🎮,27
🌷,26
❤‍🔥,26
🙃,25
🇻🇳,25
🔮,25
👏🏻,24
🤧,23
🤨,23
😵,22
😐,22
👉,22
😴,22
🍉,22
☝,22
🐰,21
🍓,21
🤟,21
👄,20
🤙,20
😛,20
🍀,20
📸,19
🤒,18
🎉,17
🎂,17
😏,16
🖤,16
🥴,16
💚,16
🙏,16
🐄,15
🤦,14
🤤,14
☘,14
🤦‍♀,14
👀,14
💰,14
💔,13
🥶,13
🙈,13
😣,13
🤢,13
🌝,12
🌚,11
🤑,11
😒,11
😬,11
👑,11
😩,10
😡,10
💩,10
🍏,10
😶,9
🌼,9
🌹,9
🎊,9
♤,9
🍑,9
🧐,9
🐤,9
🙀,9
😱,8
👻,8
🤠,8
💤,8
🦑,8
💃,7
🤬,7
👈,7
😪,7
👋,7
😹,7
😧,7
🤝,7
😕,6
👉🏻,6
🤦🏻‍♀,6
✔,6
💃🏻,6
💐,6
🙋🏻‍♀,6
🐷,6
🧏🏻‍♀,6
✋,6
💛,6
🥀,6
🤡,5
💥,5
⚡,5
✌🏻,5
🔪,5
📌,5
😲,5
🙁,5
👾,5
🛍,5
🌈,4
✌,4
🌟,4
👁,4
🤌,4
💅,4
🚊,4
🍒,4
🎄,4
🙆🏼‍♀,4
🐶,4
💟,4
🦋,4
😟,4
🚔,4
😵‍💫,4
😨,4
🥸,4
💪,4
🥱,4
⛅,4
💝,3
🙆‍♀,3
⚠,3
🍫,3
💆,3
👍🏿,3
🌵,3
😯,3
🤥,3
😖,3
🍄,3
🎀,3
🍭,3
💁,3
😫,3
🎆,3
😤,3
🌻,3
✧,3
📣,3
💬,3
🌔,3
☁,3
👯,3
🧟,3
🖌,3
🙏🏻,3
🤷,3
💡,3
💌,2
❗,2
☑,2
📦,2
🎶,2
💨,2
🤯,2
🤦🏼‍♀,2
😾,2
🤓,2
🤷🏻,2
👈🏻,2
🐛,2
🛌,2
🙉,2
🌦,2
🌎,2
🌧,2
💫,2
🌙,2
👆,2
🌂,2
💅🏼,2
🐳,2
🍼,2
📢,2
👩‍❤‍👨,2
😈,2
🐸,2
💘,2
🤎,2
🍇,2
🤟🏻,2
👆🏻,2
🤕,2
✋🏻,2
🐠,2
🙆🏻‍♂,2
🌱,2
🛁,2
📷,2
💸,1
🤌🏻,1
✿,1
🥵,1
🍊,1
🤟🏼,1
😮‍💨,1
🔸,1
🙆🏻,1
🤷🏻‍♀,1
🔫,1
🍬,1
👰,1
💍,1
💒,1
🚮,1
🤙🏻,1
😰,1
👦,1
📍,1
🙌,1
🥂,1
🌺,1
😮,1
🧆,1
🔰,1
🚶‍♂,1
👧,1
🍽,1
🪐,1
🌨,1
🌩,1
🌓,1
🏐,1
🧠,1
5⃣,1
🤮,1
🤷‍♀,1
🙊,1
🏡,1
🚶,1
🧖‍♀,1
🌿,1
♟,1
🙆🏿‍♀,1
♻,1
✈,1
🍂,1
🦄,1
🐍,1
🦀,1
🐊,1
🦞,1
🦖,1
🦍,1
📜,1
🐣,1
🌍,1
🚛,1
📲,1
🐨,1
🪖,1
➡,1
🆙,1
🍤,1
★,1
🌞,1
🚚,1
🛒,1
🗣,1
🤘🏻,1
🐈,1
⛹‍♂,1
🥌,1
⛸,1
