từ,số lần xuất hiện,lí do bị gắn cờ
k,1498,một ký tự phụ âm + không có nguyên âm
mn,916,không có nguyên âm
đc,730,không có nguyên âm
mng,373,không có nguyên âm
sp,365,không có nguyên âm
kh,315,không có nguyên âm
r,303,một ký tự phụ âm + không có nguyên âm
n,299,một ký tự phụ âm + không có nguyên âm
vs,272,không có nguyên âm
ng,249,không có nguyên âm
cx,188,không có nguyên âm
m,181,một ký tự phụ âm + không có nguyên âm
t,170,một ký tự phụ âm + không có nguyên âm
mk,164,không có nguyên âm
dc,149,không có nguyên âm
j,122,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
c,111,một ký tự phụ âm + không có nguyên âm
v,108,một ký tự phụ âm + không có nguyên âm
ncl,99,không có nguyên âm
review,96,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
nh,91,không có nguyên âm
d,88,một ký tự phụ âm + không có nguyên âm
trc,82,không có nguyên âm
nhg,75,không có nguyên âm
tc,74,không có nguyên âm
s,67,một ký tự phụ âm + không có nguyên âm
h,66,một ký tự phụ âm + không có nguyên âm
swatch,63,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
ntn,61,không có nguyên âm
p,56,một ký tự phụ âm + không có nguyên âm
a12,55,trộn chữ và số
merzy,51,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
bt,51,không có nguyên âm
z,49,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
tb,48,không có nguyên âm
99k,47,trộn chữ và số + không có nguyên âm
nch,46,không có nguyên âm
nc,45,không có nguyên âm
focallure,43,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tr,43,không có nguyên âm
nx,42,không có nguyên âm
https,40,không có nguyên âm
vd,40,không có nguyên âm
fake,40,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
lh,39,không có nguyên âm
ch,39,không có nguyên âm
b,36,một ký tự phụ âm + không có nguyên âm
ms,35,không có nguyên âm
g,34,một ký tự phụ âm + không có nguyên âm
10đ,34,trộn chữ và số + không có nguyên âm
t2,32,trộn chữ và số + không có nguyên âm
x,32,một ký tự phụ âm + không có nguyên âm
kb,31,không có nguyên âm
v17,30,trộn chữ và số + không có nguyên âm
mlbb,29,không có nguyên âm
sd,28,không có nguyên âm
v26,28,trộn chữ và số + không có nguyên âm
full,27,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
ns,26,không có nguyên âm
bth,25,không có nguyên âm
f,25,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + một ký tự phụ âm + không có nguyên âm"
v18,23,trộn chữ và số + không có nguyên âm
0d,23,trộn chữ và số + không có nguyên âm
50k,23,trộn chữ và số + không có nguyên âm
dth,22,không có nguyên âm
lm,22,không có nguyên âm
vn,22,không có nguyên âm
perfect,21,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
lg,21,không có nguyên âm
fb,19,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z) + không có nguyên âm"
rcm,19,không có nguyên âm
flash,19,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
hn,19,không có nguyên âm
zời,18,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
vl,17,không có nguyên âm
th,17,không có nguyên âm
bn,17,không có nguyên âm
br,16,không có nguyên âm
દ,16,chữ không phải chữ Latin (ký tự trang trí / tiếng nước ngoài)
hk,16,không có nguyên âm
19k,16,trộn chữ và số + không có nguyên âm
km,16,không có nguyên âm
sr,16,không có nguyên âm
mh,15,không có nguyên âm
cmt,15,không có nguyên âm
ε,15,chữ không phải chữ Latin (ký tự trang trí / tiếng nước ngoài)
qr,15,không có nguyên âm
dv,15,không có nguyên âm
blr,15,không có nguyên âm
kkk,15,không có nguyên âm
000d,15,trộn chữ và số + không có nguyên âm
pd,15,không có nguyên âm
5sao,15,trộn chữ và số
hcm,15,không có nguyên âm
hs,14,không có nguyên âm
100k,14,trộn chữ và số + không có nguyên âm
70k,14,trộn chữ và số + không có nguyên âm
lq,14,không có nguyên âm
v24,14,trộn chữ và số + không có nguyên âm
kk,13,không có nguyên âm
qc,13,không có nguyên âm
vc,13,không có nguyên âm
klq,13,không có nguyên âm
000đ,13,trộn chữ và số + không có nguyên âm
cg,12,không có nguyên âm
dk,12,không có nguyên âm
down,12,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
tks,12,không có nguyên âm
tt,12,không có nguyên âm
đ,11,không có nguyên âm
cafe,11,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
1c,11,trộn chữ và số + không có nguyên âm
rv,11,không có nguyên âm
qt,11,không có nguyên âm
0đ,11,trộn chữ và số + không có nguyên âm
20k,10,trộn chữ và số + không có nguyên âm
kg,10,không có nguyên âm
sn,10,không có nguyên âm
5g,10,trộn chữ và số + không có nguyên âm
69k,10,trộn chữ và số + không có nguyên âm
of,10,"chữ Latin ngoài bảng chữ cái tiếng Việt (f, j, w, z)"
2c,10,trộn chữ và số + không có nguyên âm
t3,10,trộn chữ và số + không có nguyên âm
bthg,9,không có nguyên âm
