split,dấu câu,số review có chứa,tổng số lần xuất hiện,tỉ lệ %
train,!,335,1361,2.58
train,?,61,139,0.47
train,.,4929,15690,37.97
train,",",6353,13591,48.94
train,...,564,2030,4.34
train,:,1500,3172,11.56
train,;,35,76,0.27
train,-,207,465,1.59
train,~,20,39,0.15
train,@,33,82,0.25
val,!,42,96,2.59
val,?,11,41,0.68
val,.,632,2279,38.94
val,",",817,1733,50.34
val,...,77,347,4.74
val,:,160,315,9.86
val,;,2,5,0.12
val,-,14,56,0.86
val,~,1,1,0.06
val,@,3,3,0.18
test,!,48,170,2.96
test,?,10,17,0.62
test,.,640,2138,39.43
test,",",821,1802,50.59
test,...,82,300,5.05
test,:,205,420,12.63
test,;,3,4,0.18
test,-,26,118,1.6
test,~,1,2,0.06
test,@,2,6,0.12
