aspect,sentiment,metric,value
stayingpower,all,accuracy,93.78
stayingpower,mentioned,accuracy_when_mentioned,64.83
texture,all,accuracy,92.02
texture,mentioned,accuracy_when_mentioned,80.56
smell,all,accuracy,96.14
smell,mentioned,accuracy_when_mentioned,81.61
price,all,accuracy,98.55
price,mentioned,accuracy_when_mentioned,96.3
colour,all,accuracy,93.39
colour,mentioned,accuracy_when_mentioned,89.75
shipping,all,accuracy,97.92
shipping,mentioned,accuracy_when_mentioned,96.02
packing,all,accuracy,97.69
packing,mentioned,accuracy_when_mentioned,94.66
stayingpower,mentioned,accuracy,98.51
stayingpower,mentioned,precision,0.961
stayingpower,mentioned,recall,0.945
stayingpower,mentioned,f1,0.953
texture,mentioned,accuracy,96.63
texture,mentioned,precision,0.926
texture,mentioned,recall,0.963
texture,mentioned,f1,0.944
smell,mentioned,accuracy,99.27
smell,mentioned,precision,0.99
smell,mentioned,recall,0.973
smell,mentioned,f1,0.981
price,mentioned,accuracy,98.88
price,mentioned,precision,0.969
price,mentioned,recall,0.978
price,mentioned,f1,0.974
colour,mentioned,accuracy,96.59
colour,mentioned,precision,0.959
colour,mentioned,recall,0.967
colour,mentioned,f1,0.963
shipping,mentioned,accuracy,98.73
shipping,mentioned,precision,0.978
shipping,mentioned,recall,0.984
shipping,mentioned,f1,0.981
packing,mentioned,accuracy,98.28
packing,mentioned,precision,0.932
packing,mentioned,recall,0.979
packing,mentioned,f1,0.955
stayingpower,positive,precision,0.638
stayingpower,positive,recall,0.986
stayingpower,positive,f1,0.774
stayingpower,positive,support,141.0
stayingpower,negative,precision,1.0
stayingpower,negative,recall,0.147
stayingpower,negative,f1,0.257
stayingpower,negative,support,95.0
texture,positive,precision,0.775
texture,positive,recall,0.997
texture,positive,f1,0.872
texture,positive,support,345.0
texture,negative,precision,0.0
texture,negative,recall,0.0
texture,negative,f1,0.0
texture,negative,support,82.0
smell,positive,precision,0.83
smell,positive,recall,0.972
smell,positive,f1,0.895
smell,positive,support,251.0
smell,negative,precision,0.0
smell,negative,recall,0.0
smell,negative,f1,0.0
smell,negative,support,48.0
price,positive,precision,0.954
price,positive,recall,0.981
price,positive,f1,0.967
price,positive,support,318.0
price,negative,precision,0.0
price,negative,recall,0.0
price,negative,f1,0.0
price,negative,support,6.0
colour,positive,precision,0.89
colour,positive,recall,0.976
colour,positive,f1,0.931
colour,positive,support,619.0
colour,negative,precision,0.0
colour,negative,recall,0.0
colour,negative,f1,0.0
colour,negative,support,54.0
shipping,positive,precision,0.955
shipping,positive,recall,0.97
shipping,positive,f1,0.962
shipping,positive,support,330.0
shipping,negative,precision,0.953
shipping,negative,recall,0.942
shipping,negative,f1,0.948
shipping,negative,support,173.0
packing,positive,precision,0.902
packing,positive,recall,0.982
packing,positive,f1,0.94
packing,positive,support,271.0
packing,negative,precision,0.0
packing,negative,recall,0.0
packing,negative,f1,0.0
packing,negative,support,10.0
all,all,accuracy_macro,95.64
all,all,accuracy_micro,95.67
all,all,when_mentioned_macro,86.25
all,all,detection_f1_macro,0.964
all,all,detection_f1_micro,0.965
all,all,sentiment_f1_macro,0.539
all,all,sentiment_f1_micro,0.872
all,all,exact_match,75.69
