aspect,sentiment,metric,value
stayingpower,all,accuracy,75.0
stayingpower,mentioned,accuracy_when_mentioned,33.33
texture,all,accuracy,75.0
texture,mentioned,accuracy_when_mentioned,33.33
smell,all,accuracy,100.0
smell,mentioned,accuracy_when_mentioned,100.0
price,all,accuracy,62.5
price,mentioned,accuracy_when_mentioned,33.33
colour,all,accuracy,100.0
colour,mentioned,accuracy_when_mentioned,0.0
shipping,all,accuracy,87.5
shipping,mentioned,accuracy_when_mentioned,80.0
packing,all,accuracy,100.0
packing,mentioned,accuracy_when_mentioned,100.0
stayingpower,mentioned,accuracy,75.0
stayingpower,mentioned,precision,1.0
stayingpower,mentioned,recall,0.333
stayingpower,mentioned,f1,0.5
texture,mentioned,accuracy,87.5
texture,mentioned,precision,1.0
texture,mentioned,recall,0.667
texture,mentioned,f1,0.8
smell,mentioned,accuracy,100.0
smell,mentioned,precision,1.0
smell,mentioned,recall,1.0
smell,mentioned,f1,1.0
price,mentioned,accuracy,62.5
price,mentioned,precision,0.5
price,mentioned,recall,0.333
price,mentioned,f1,0.4
colour,mentioned,accuracy,100.0
colour,mentioned,precision,0.0
colour,mentioned,recall,0.0
colour,mentioned,f1,0.0
shipping,mentioned,accuracy,87.5
shipping,mentioned,precision,1.0
shipping,mentioned,recall,0.8
shipping,mentioned,f1,0.889
packing,mentioned,accuracy,100.0
packing,mentioned,precision,1.0
packing,mentioned,recall,1.0
packing,mentioned,f1,1.0
stayingpower,positive,precision,0.0
stayingpower,positive,recall,0.0
stayingpower,positive,f1,0.0
stayingpower,positive,support,1.0
stayingpower,negative,precision,1.0
stayingpower,negative,recall,0.5
stayingpower,negative,f1,0.667
stayingpower,negative,support,2.0
texture,positive,precision,1.0
texture,positive,recall,0.333
texture,positive,f1,0.5
texture,positive,support,3.0
texture,negative,precision,0.0
texture,negative,recall,0.0
texture,negative,f1,0.0
texture,negative,support,0.0
smell,positive,precision,1.0
smell,positive,recall,1.0
smell,positive,f1,1.0
smell,positive,support,2.0
smell,negative,precision,0.0
smell,negative,recall,0.0
smell,negative,f1,0.0
smell,negative,support,0.0
price,positive,precision,0.5
price,positive,recall,0.333
price,positive,f1,0.4
price,positive,support,3.0
price,negative,precision,0.0
price,negative,recall,0.0
price,negative,f1,0.0
price,negative,support,0.0
colour,positive,precision,0.0
colour,positive,recall,0.0
colour,positive,f1,0.0
colour,positive,support,0.0
colour,negative,precision,0.0
colour,negative,recall,0.0
colour,negative,f1,0.0
colour,negative,support,0.0
shipping,positive,precision,1.0
shipping,positive,recall,1.0
shipping,positive,f1,1.0
shipping,positive,support,2.0
shipping,negative,precision,1.0
shipping,negative,recall,0.667
shipping,negative,f1,0.8
shipping,negative,support,3.0
packing,positive,precision,0.0
packing,positive,recall,0.0
packing,positive,f1,0.0
packing,positive,support,0.0
packing,negative,precision,1.0
packing,negative,recall,1.0
packing,negative,f1,1.0
packing,negative,support,1.0
all,all,accuracy_macro,85.71
all,all,accuracy_micro,85.71
all,all,when_mentioned_macro,63.33
all,all,detection_f1_macro,0.656
all,all,detection_f1_micro,0.759
all,all,sentiment_f1_macro,0.596
all,all,sentiment_f1_micro,0.69
all,all,exact_match,37.5
